event_id,date,name,distance,finishers,year,finishers_n
129386,01.03.2026,Ultra Trail del Marchesato (ITA),66km,172,2026,172
124212,01.03.2026,Fencihu 100 Km Ultra Run (TPE),100km,197,2026,197
124213,01.03.2026,Fencihu 76 Km Ultra Run (TPE),76km,51,2026,51
124214,01.03.2026,Fencihu 50 Km Ultra Run (TPE),50km,89,2026,89
129625,01.03.2026,Joanópolis Ultramarathon Roots Racing - 81km (BRA),81km,15,2026,15
129626,01.03.2026,Joanópolis Ultramarathon Roots Racing - 64km (BRA),64km,9,2026,9
129627,01.03.2026,Joanópolis Ultramarathon Roots Racing - 51km (BRA),51km,13,2026,13
130822,01.03.2026,The Fort Ultra - 100km Udaipur Ultra (IND),100km,31,2026,31
130823,01.-02.03.2026,The Fort Ultra - 100 Miles Chittorgarh Challenge (IND),100mi,14,2026,14
130824,01.03.2026,The Fort Ultra - 50km Haldighati March (IND),50km,81,2026,81
129385,01.03.2026,Terre di Siena Ultramarathon (ITA),50km,446,2026,446
124025,28.02.-01.03.2026,12h de Capitany - marche (FRA),12h,11,2026,11
124026,28.02.-01.03.2026,12h de Capitany - course (FRA),12h,36,2026,36
120126,28.02.2026,Lark Hill 50K Dusk to Dawn Ultra (AUS),50km,17,2026,17
120125,28.02.2026,Lark Hill Mega Multi-Stage Rager Dusk to Dawn Ultra (AUS),64km,8,2026,8
120127,28.02.2026,Lark Hill 50 Mi Dusk to Dawn Ultra (AUS),50mi,3,2026,3
128783,28.02.-01.03.2026,24h Bourges (FRA),24h,27,2026,27
124023,28.02.2026,6h de Capitany - marche (FRA),6h,7,2026,7
124024,28.02.2026,6h de Capitany - course (FRA),6h,33,2026,33
128785,28.02.2026,Les 24 heures de Vignetta - 6h (FRA),6h,4,2026,4
128786,28.02.2026,Les 24 heures de Vignetta - 12h (FRA),12h,7,2026,7
128787,28.02.-01.03.2026,Les 24 heures de Vignetta - 24h (FRA),24h,51,2026,51
129384,28.02.2026,6 Ore Pastrengo Trail (ITA),6h,31,2026,31
130418,28.02.-10.03.2026,Xiamen 10 Day Race (CHN),10d,12,2026,12
130419,28.02.-06.03.2026,Xiamen 6 Day Race (CHN),6d,2,2026,2
130421,28.02.-02.03.2026,Xiamen 48 Hour Race (CHN),48h,1,2026,1
