Year of event,Event dates,Event name,Event distance/length,Event number of finishers,Athlete performance,Athlete club,Athlete country,Athlete year of birth,Athlete gender,Athlete age category,Athlete average speed,Athlete ID,finish_hours,speed_float,tier,dist_km,speed_kmh_clean,pace_min_km
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,28:03:36 h,,SUI,1954.0,M,M45,7.84,81221,28.060000000000002,7.84,ELITE,220.0,7.840342124019957,7.652727272727273
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,28:03:42 h,,GBR,,M,,7.84,1119667,28.061666666666667,7.84,ELITE,220.0,7.839876462552711,7.653181818181818
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,28:16:21 h,,FRA,,M,,7.781,1093183,28.272499999999997,7.781,ELITE,220.0,7.781413033866833,7.7106818181818175
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,28:17:06 h,,ITA,1959.0,F,W40,7.778,1064015,28.285,7.778,ELITE,220.0,7.7779741912674565,7.714090909090909
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,28:18:09 h,,USA,1949.0,M,M50,7.773,1049653,28.302500000000002,7.773,ELITE,220.0,7.77316491476018,7.718863636363636
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,28:21:27 h,,FRA,1957.0,M,M40,7.758,9878,28.3575,7.758,ELITE,220.0,7.758088689059331,7.733863636363637
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,28:38:05 h,,FRA,1969.0,M,M23,7.683,1069369,28.634722222222223,7.683,ELITE,220.0,7.682980064994907,7.809469696969697
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,29:00:53 h,,FRA,1949.0,M,M50,7.582,83594,29.014722222222222,7.582,ELITE,220.0,7.582357615386825,7.913106060606061
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,29:00:57 h,,FRA,1974.0,M,M23,7.582,244760,29.015833333333333,7.582,ELITE,220.0,7.5820672621269996,7.913409090909091
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,29:05:52 h,,FRA,,M,,7.561,1119668,29.097777777777775,7.561,ELITE,220.0,7.560714831220407,7.935757575757575
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,29:07:40 h,,FRA,1948.0,M,M50,7.553,84941,29.12777777777778,7.553,ELITE,220.0,7.55292771314133,7.943939393939395
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,29:25:53 h,,ITA,1969.0,M,M23,7.475,455409,29.43138888888889,7.475,ELITE,220.0,7.475012505544911,8.026742424242425
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,29:56:03 h,,GER,1950.0,M,M50,7.349,1047180,29.934166666666666,7.349,ELITE,220.0,7.349461317892041,8.163863636363637
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,29:56:13 h,,FRA,1960.0,M,M35,7.349,1051199,29.936944444444446,7.349,ELITE,220.0,7.348779378879682,8.164621212121213
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,29:58:22 h,,FRA,1968.0,M,M23,7.34,1104898,29.972777777777775,7.34,ELITE,220.0,7.33999369798521,8.174393939393939
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,29:59:14 h,,FRA,1962.0,M,M35,7.336,85153,29.987222222222222,7.336,ELITE,220.0,7.336458121051559,8.178333333333333
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,30:12:41 h,,FRA,1958.0,M,M40,7.282,1119669,30.211388888888887,7.282,MID,220.0,7.282022048344536,8.239469696969696
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,30:23:12 h,,LUX,1955.0,M,M40,7.24,430472,30.386666666666667,7.24,MID,220.0,7.240017551557701,8.287272727272727
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,30:29:19 h,,GER,1960.0,M,M35,7.216,507536,30.488611111111112,7.216,MID,220.0,7.215809181934967,8.315075757575757
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,30:33:48 h,,GER,,M,,7.198,1119670,30.563333333333333,7.198,MID,220.0,7.198167739120951,8.335454545454546
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,30:34:24 h,,FRA,1960.0,M,M35,7.196,1084571,30.573333333333334,7.196,MID,220.0,7.1958133449629305,8.338181818181818
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,30:34:28 h,,USA,1954.0,F,W45,7.196,930403,30.574444444444445,7.196,MID,220.0,7.195551840680307,8.338484848484848
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,30:42:52 h,,GER,1968.0,M,M23,7.163,1098861,30.714444444444442,7.163,MID,220.0,7.162753680859531,8.376666666666667
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,30:44:38 h,,AUT,1941.0,M,M55,7.156,1051513,30.74388888888889,7.156,MID,220.0,7.155893673539457,8.38469696969697
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,30:51:42 h,,FRA,1953.0,M,M45,7.129,418643,30.861666666666668,7.129,MID,220.0,7.128584543932602,8.416818181818183
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,31:09:35 h,,FRA,1942.0,M,M55,7.06,1086569,31.15972222222222,7.06,MID,220.0,7.060396701582349,8.49810606060606
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,31:15:19 h,,GBR,1981.0,M,MU23,7.039,73425,31.255277777777778,7.039,MID,220.0,7.03881122299345,8.524166666666666
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,31:18:00 h,,FRA,1971.0,M,M23,7.029,1119671,31.3,7.029,MID,220.0,7.0287539936102235,8.536363636363637
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,31:19:34 h,,ITA,1954.0,M,M45,7.023,183813,31.32611111111111,7.023,MID,220.0,7.022895348218561,8.543484848484848
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,31:22:51 h,,FRA,1972.0,M,M23,7.011,740595,31.380833333333335,7.011,MID,220.0,7.010648750564304,8.558409090909091
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,31:38:06 h,,ESP,1968.0,M,M23,6.954,1119672,31.634999999999998,6.954,MID,220.0,6.954322743796428,8.627727272727272
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,31:39:13 h,,GBR,,M,,6.95,1119673,31.65361111111111,6.95,MID,220.0,6.9502338683492315,8.63280303030303
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,31:41:16 h,,MAR,,M,,6.943,1093198,31.68777777777778,6.943,MID,220.0,6.942739927767453,8.642121212121213
2000,04.-10.04.2000,Marathon des Sables (MAR),220km/6Etappen,570,31:49:48 h,,GER,1950.0,M,M45,6.912,1097941,31.83,6.912,MID,220.0,6.911718504555451,8.68090909090909
